name,link,address,urls,score
СШ им.Огонбаева,/profile:715/ssh-imogonbaeva/?from=bilim&place=list,"Таласская область, Таласский район c.Кек-Кашат 724009 ул. Школьная 1",https://bilim.akipress.org/profile:715/ssh-imogonbaeva/?from=bilim&place=list,96.8
УВК школа-гимназия №70,/profile:2186/uvk-shkolagimnaziya-70/?from=bilim&place=list,"Бишкек, Первомайский район  Боконбаева, 153",https://bilim.akipress.org/profile:2186/uvk-shkolagimnaziya-70/?from=bilim&place=list,нет
УВК школа-гимназия №17 им. А.Пушкина,/profile:10/uvk-shkolagimnaziya-17-im-apushkina/?from=bilim&place=list,"Бишкек, Октябрьский район  Бишкек, 4 мкр, 31",https://bilim.akipress.org/profile:10/uvk-shkolagimnaziya-17-im-apushkina/?from=bilim&place=list,109.3
Учебный комплекс авторской физико-математической школы-лицея №61 Е.Якира,/profile:2188/uchebnyi-kompleks-avtorskoi-fizikomatematicheskoi/?from=bilim&place=list,"Бишкек, Первомайский район  Малдыбаева, 10",https://bilim.akipress.org/profile:2188/uchebnyi-kompleks-avtorskoi-fizikomatematicheskoi/?from=bilim&place=list,нет
Школа-гимназия №91,/profile:2172/shkolagimnaziya-91/?from=bilim&place=list,"Бишкек, Октябрьский район  ул.Оберона б/н",https://bilim.akipress.org/profile:2172/shkolagimnaziya-91/?from=bilim&place=list,156
Школа-гимназия №26 с углубленным изучением французского языка,/profile:8/shkolagimnaziya-26-s-uglublennym-izucheniem-francu/?from=bilim&place=list,"Бишкек, Октябрьский район  ул.Койбагарова, 35",https://bilim.akipress.org/profile:8/shkolagimnaziya-26-s-uglublennym-izucheniem-francu/?from=bilim&place=list,132.8
СШ №19,/profile:2215/ssh-19/?from=bilim&place=list,"Бишкек, Первомайский район  ул. Кулиева 187а",https://bilim.akipress.org/profile:2215/ssh-19/?from=bilim&place=list,164.1
Кара-Жыгачская СОШ им. Каратала Табалдинова,/profile:616/karazhygachskaya-sosh-im-karatala-tabaldinova/?from=bilim&place=list,"Чуйская область, Аламудунский район c.Кара-Джыгач 724314 ул. Кондучаловой, 90",https://bilim.akipress.org/profile:616/karazhygachskaya-sosh-im-karatala-tabaldinova/?from=bilim&place=list,109.7
СШ №1,/profile:5/ssh-1/?from=bilim&place=list,"Бишкек, Свердловский район  м-н Аламедин -1",https://bilim.akipress.org/profile:5/ssh-1/?from=bilim&place=list,105.9
СШ №89,/profile:2158/ssh-89/?from=bilim&place=list,"Бишкек, Свердловский район  н/с Учкун,Мин-Булак",https://bilim.akipress.org/profile:2158/ssh-89/?from=bilim&place=list,103.7
