name,link,address,urls,score
СШ им.Эшенкулова,/profile:1099/ssh-imeshenkulova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Тору-Айгыр 722302 ул.ентибаева 5",https://bilim.akipress.org/profile:1099/ssh-imeshenkulova/?from=bilim&place=list,108.8
СШ им.Иманкулова,/profile:1085/ssh-imimankulova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Бактуу-Долоноту Гагарина № 5   722317",https://bilim.akipress.org/profile:1085/ssh-imimankulova/?from=bilim&place=list,95.3
СШ им.Бейшекеева,/profile:1074/ssh-imbeishekeeva/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Кароол-Дебе ул.Шадыканова б\н722327",https://bilim.akipress.org/profile:1074/ssh-imbeishekeeva/?from=bilim&place=list,126
СШ им.Орозова,/profile:1084/ssh-imorozova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Корумду Сокубай № 37 722318",https://bilim.akipress.org/profile:1084/ssh-imorozova/?from=bilim&place=list,109.1
СШ им.Абдрахманова,/profile:1077/ssh-imabdrahmanova/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Ананьево ул.Ленина №65 722324",https://bilim.akipress.org/profile:1077/ssh-imabdrahmanova/?from=bilim&place=list,121.6
СШ им.Акун Мыктыбека,/profile:1072/ssh-imakun-myktybeka/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Чон-Орюктю 722329",https://bilim.akipress.org/profile:1072/ssh-imakun-myktybeka/?from=bilim&place=list,127.7
СШ. Им.Джумаева,/profile:1094/ssh-imdzhumaeva/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Чон-Сары-Ой 722307 улКудайменде2",https://bilim.akipress.org/profile:1094/ssh-imdzhumaeva/?from=bilim&place=list,нет
СШ с.Бает,/profile:1092/ssh-sbaet/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Баетовка 722309 б\у",https://bilim.akipress.org/profile:1092/ssh-sbaet/?from=bilim&place=list,98.2
СШ им.Туменбаева,/profile:1096/ssh-imtumenbaeva/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Чок-Тал 722305",https://bilim.akipress.org/profile:1096/ssh-imtumenbaeva/?from=bilim&place=list,99.9
СШ с.Орнок,/profile:1095/ssh-sornok/?from=bilim&place=list,"Ыссык-Кульская область, Ыссык-Кульский район c.Орнек 722306",https://bilim.akipress.org/profile:1095/ssh-sornok/?from=bilim&place=list,125.1
